52,36
12,28
62,45
11,19
61,25
4,12
45,30
13,29
36,29
2,29
51,43
15,23
30,45
8,24
25,34
19,27
34,25
10,18
25,32
29,38
32,18
1,18
58,23
6,23
57,51
38,45
54,45
18,35
60,61
12,4
45,37
28,37
50,42
35,18
53,45
5,12
48,32
18,28
49,33
28,43
33,25
9,17
59,57
43,28
55,47
28,13
57,49
13,28
47,39
28,43
49,48
0,1
39,31
1,0
48,57
43,28
56,48
23,13
31,23
14,23
48,49
12,26
57,60
26,44
51,57
28,45
60,52
45,28
63,31
13,30
52,50
28,13
50,52
30,20
52,43
44,58
49,52
58,44
31,29
13,19
29,27
3,2
27,19
4,5
43,29
5,14
52,54
20,30
19,22
14,15
29,2
0,2
22,21
37,45
54,46
44,37
21,37
30,20
37,45
2,1
45,13
20,14
13,14
